Name                  Format          Size  Path                                                     
-----------------------------------------------------------------------------------------------------
ICON0.PNG             PNG        24.343 KB  \BCKS10030\ICON0.PNG                                     
PARAM.SFO             SFO         305 Byte  \BCKS10030\PARAM.SFO                                     
tv_10_650110262.strb  STRB        9.633 KB  \BCKS10030\USRDIR\grim\file\contents\tv_10_650110262.strb
tv_10_730808640.dls   DLS         8.476 KB  \BCKS10030\USRDIR\grim\file\contents\tv_10_730808640.dls 
tv_10_915819640.pam   PAM       133.674 MB  \BCKS10030\USRDIR\grim\file\contents\tv_10_915819640.pam 
tv_11_251732641.dls   DLS         8.694 KB  \BCKS10030\USRDIR\grim\file\contents\tv_11_251732641.dls 
tv_11_436743641.pam   PAM       137.400 MB  \BCKS10030\USRDIR\grim\file\contents\tv_11_436743641.pam 
tv_11_499481233.strb  STRB       13.113 KB  \BCKS10030\USRDIR\grim\file\contents\tv_11_499481233.strb
tv_12_348852204.strb  STRB        2.918 KB  \BCKS10030\USRDIR\grim\file\contents\tv_12_348852204.strb
tv_12_772655642.dls   DLS         8.569 KB  \BCKS10030\USRDIR\grim\file\contents\tv_12_772655642.dls 
tv_12_957666642.pam   PAM       135.131 MB  \BCKS10030\USRDIR\grim\file\contents\tv_12_957666642.pam 
tv_46_494248732.pam   PAM       254.289 MB  \BCKS10030\USRDIR\grim\file\contents\tv_46_494248732.pam 
tv_46_997791722.strb  STRB      237.015 KB  \BCKS10030\USRDIR\grim\file\contents\tv_46_997791722.strb
tv_63_088672033.strb  STRB      334.146 KB  \BCKS10030\USRDIR\grim\file\contents\tv_63_088672033.strb
tv_63_233736786.pam   PAM       378.914 MB  \BCKS10030\USRDIR\grim\file\contents\tv_63_233736786.pam 
tv_8_280528187.pam    PAM       123.596 MB  \BCKS10030\USRDIR\grim\file\contents\tv_8_280528187.pam  
tv_8_465539187.dls    DLS         7.850 KB  \BCKS10030\USRDIR\grim\file\contents\tv_8_465539187.dls  
tv_8_945178716.strb   STRB        5.401 KB  \BCKS10030\USRDIR\grim\file\contents\tv_8_945178716.strb 
tv_9_096808744.strb   STRB        6.268 KB  \BCKS10030\USRDIR\grim\file\contents\tv_9_096808744.strb 
tv_9_759604186.pam    PAM       115.781 MB  \BCKS10030\USRDIR\grim\file\contents\tv_9_759604186.pam  
tv_9_944615186.dls    DLS         7.350 KB  \BCKS10030\USRDIR\grim\file\contents\tv_9_944615186.dls  
tv_kr_10.xml          XML         2.037 KB  \BCKS10030\USRDIR\grim\file\contents\tv_kr_10.xml        
tv_kr_11.xml          XML         2.104 KB  \BCKS10030\USRDIR\grim\file\contents\tv_kr_11.xml        
tv_kr_12.xml          XML         2.205 KB  \BCKS10030\USRDIR\grim\file\contents\tv_kr_12.xml        
tv_kr_13.xml          XML         2.221 KB  \BCKS10030\USRDIR\grim\file\contents\tv_kr_13.xml        
tv_kr_14.xml          XML         968 Byte  \BCKS10030\USRDIR\grim\file\contents\tv_kr_14.xml        
tv_kr_15.xml          XML         964 Byte  \BCKS10030\USRDIR\grim\file\contents\tv_kr_15.xml        
tv_kr_9.xml           XML         2.136 KB  \BCKS10030\USRDIR\grim\file\contents\tv_kr_9.xml         
tv_kr_l_1.xml         XML         235 Byte  \BCKS10030\USRDIR\grim\file\contents\tv_kr_l_1.xml       
4L                                4.052 KB  \BCKS10030\USRDIR\PDIPFS\52\4L                           
I3                              199.063 KB  \BCKS10030\USRDIR\PDIPFS\K\I3                            
I4                              162.516 KB  \BCKS10030\USRDIR\PDIPFS\K\I4                            
I5                               17.011 KB  \BCKS10030\USRDIR\PDIPFS\K\I5                            
I6                              103.784 KB  \BCKS10030\USRDIR\PDIPFS\K\I6                            
I7                                1.261 MB  \BCKS10030\USRDIR\PDIPFS\K\I7                            
I8                                1.927 MB  \BCKS10030\USRDIR\PDIPFS\K\I8                            
I9                               19.836 KB  \BCKS10030\USRDIR\PDIPFS\K\I9                            
IA                              360.318 KB  \BCKS10030\USRDIR\PDIPFS\K\IA                            
IB                                645 Byte  \BCKS10030\USRDIR\PDIPFS\K\IB                            
IC                               16.493 KB  \BCKS10030\USRDIR\PDIPFS\K\IC                            
ID                               62.766 KB  \BCKS10030\USRDIR\PDIPFS\K\ID                            
IE                               10.115 KB  \BCKS10030\USRDIR\PDIPFS\K\IE                            
IF                                5.673 KB  \BCKS10030\USRDIR\PDIPFS\K\IF                            
IG                              419.224 KB  \BCKS10030\USRDIR\PDIPFS\K\IG                            
IH                                3.213 MB  \BCKS10030\USRDIR\PDIPFS\K\IH                            
II                                1.795 MB  \BCKS10030\USRDIR\PDIPFS\K\II                            
IJ                               19.753 KB  \BCKS10030\USRDIR\PDIPFS\K\IJ                            
IK                               10.254 KB  \BCKS10030\USRDIR\PDIPFS\K\IK                            
IL                               16.770 KB  \BCKS10030\USRDIR\PDIPFS\K\IL                            
IM                                875 Byte  \BCKS10030\USRDIR\PDIPFS\K\IM                            
IN                                5.383 KB  \BCKS10030\USRDIR\PDIPFS\K\IN                            
IO                              185.109 KB  \BCKS10030\USRDIR\PDIPFS\K\IO                            
IP                               11.438 KB  \BCKS10030\USRDIR\PDIPFS\K\IP                            
IQ                                643 Byte  \BCKS10030\USRDIR\PDIPFS\K\IQ                            
IR                               15.754 KB  \BCKS10030\USRDIR\PDIPFS\K\IR                            
IS                               21.313 KB  \BCKS10030\USRDIR\PDIPFS\K\IS                            
IT                                1.467 MB  \BCKS10030\USRDIR\PDIPFS\K\IT                            
IU                                2.083 MB  \BCKS10030\USRDIR\PDIPFS\K\IU                            
IV                                1.641 MB  \BCKS10030\USRDIR\PDIPFS\K\IV                            
IW                                1.624 MB  \BCKS10030\USRDIR\PDIPFS\K\IW                            
IX                               15.799 KB  \BCKS10030\USRDIR\PDIPFS\K\IX                            
IZ                               99.792 KB  \BCKS10030\USRDIR\PDIPFS\K\IZ                            
J0                              180.469 KB  \BCKS10030\USRDIR\PDIPFS\K\J0                            
J1                              101.780 KB  \BCKS10030\USRDIR\PDIPFS\K\J1                            
J2                                4.309 MB  \BCKS10030\USRDIR\PDIPFS\K\J2                            
J3                              199.719 KB  \BCKS10030\USRDIR\PDIPFS\K\J3                            
J4                                1.751 MB  \BCKS10030\USRDIR\PDIPFS\K\J4                            
J5                                2.702 MB  \BCKS10030\USRDIR\PDIPFS\K\J5                            
J6                               16.341 KB  \BCKS10030\USRDIR\PDIPFS\K\J6                            
J7                              169.922 KB  \BCKS10030\USRDIR\PDIPFS\K\J7                            
J8                                1.546 MB  \BCKS10030\USRDIR\PDIPFS\K\J8                            
J9                                1.825 MB  \BCKS10030\USRDIR\PDIPFS\K\J9                            
JA                                3.104 KB  \BCKS10030\USRDIR\PDIPFS\K\JA                            
JB                                458 Byte  \BCKS10030\USRDIR\PDIPFS\K\JB                            
JC                                2.929 MB  \BCKS10030\USRDIR\PDIPFS\K\JC                            
JD                                2.938 MB  \BCKS10030\USRDIR\PDIPFS\K\JD                            
JE                                3.182 MB  \BCKS10030\USRDIR\PDIPFS\K\JE                            
JF                              185.906 KB  \BCKS10030\USRDIR\PDIPFS\K\JF                            
JG                              102.331 KB  \BCKS10030\USRDIR\PDIPFS\K\JG                            
JH                               10.001 KB  \BCKS10030\USRDIR\PDIPFS\K\JH                            
JI                                1.533 MB  \BCKS10030\USRDIR\PDIPFS\K\JI                            
JJ                               16.250 KB  \BCKS10030\USRDIR\PDIPFS\K\JJ                            
JK                                692 Byte  \BCKS10030\USRDIR\PDIPFS\K\JK                            
JL                               12.981 KB  \BCKS10030\USRDIR\PDIPFS\K\JL                            
JM                                1.440 MB  \BCKS10030\USRDIR\PDIPFS\K\JM                            
JN                              106.234 KB  \BCKS10030\USRDIR\PDIPFS\K\JN                            
JO                              170.370 KB  \BCKS10030\USRDIR\PDIPFS\K\JO                            
JP                              198.328 KB  \BCKS10030\USRDIR\PDIPFS\K\JP                            
JQ                               10.816 KB  \BCKS10030\USRDIR\PDIPFS\K\JQ                            
JR                                 80 Byte  \BCKS10030\USRDIR\PDIPFS\K\JR                            
JS                               20.340 KB  \BCKS10030\USRDIR\PDIPFS\K\JS                            
JT                               19.103 KB  \BCKS10030\USRDIR\PDIPFS\K\JT                            
JU                               16.932 KB  \BCKS10030\USRDIR\PDIPFS\K\JU                            
JV                              165.391 KB  \BCKS10030\USRDIR\PDIPFS\K\JV                            
JW                                2.541 KB  \BCKS10030\USRDIR\PDIPFS\K\JW                            
JX                              966.229 KB  \BCKS10030\USRDIR\PDIPFS\K\JX                            
JY                                1.737 KB  \BCKS10030\USRDIR\PDIPFS\K\JY                            
JZ                               11.081 MB  \BCKS10030\USRDIR\PDIPFS\K\JZ                            
K0                               19.943 KB  \BCKS10030\USRDIR\PDIPFS\K\K0                            
K1                                1.764 KB  \BCKS10030\USRDIR\PDIPFS\K\K1                            
K2                                1.733 MB  \BCKS10030\USRDIR\PDIPFS\K\K2                            
K3                               16.872 KB  \BCKS10030\USRDIR\PDIPFS\K\K3                            
K4                              171.109 KB  \BCKS10030\USRDIR\PDIPFS\K\K4                            
K5                               16.751 KB  \BCKS10030\USRDIR\PDIPFS\K\K5                            
K6                                1.754 MB  \BCKS10030\USRDIR\PDIPFS\K\K6                            
K7                                 69 Byte  \BCKS10030\USRDIR\PDIPFS\K\K7                            
K8                               61.541 MB  \BCKS10030\USRDIR\PDIPFS\K\K8                            
K9                               16.697 KB  \BCKS10030\USRDIR\PDIPFS\K\K9                            
KA                              166.797 KB  \BCKS10030\USRDIR\PDIPFS\K\KA                            
KB                                2.918 MB  \BCKS10030\USRDIR\PDIPFS\K\KB                            
KC                                1.122 KB  \BCKS10030\USRDIR\PDIPFS\K\KC                            
KD                               10.994 KB  \BCKS10030\USRDIR\PDIPFS\K\KD                            
KE                              482.876 KB  \BCKS10030\USRDIR\PDIPFS\K\KE                            
KF                                1.585 MB  \BCKS10030\USRDIR\PDIPFS\K\KF                            
KG                               14.069 KB  \BCKS10030\USRDIR\PDIPFS\K\KG                            
KH                                3.316 KB  \BCKS10030\USRDIR\PDIPFS\K\KH                            
KI                                1.618 MB  \BCKS10030\USRDIR\PDIPFS\K\KI                            
KJ                              170.797 KB  \BCKS10030\USRDIR\PDIPFS\K\KJ                            
KL                                658 Byte  \BCKS10030\USRDIR\PDIPFS\K\KL                            
KM                                1.701 MB  \BCKS10030\USRDIR\PDIPFS\K\KM                            
KN                                1.356 MB  \BCKS10030\USRDIR\PDIPFS\K\KN                            
KO                                7.059 KB  \BCKS10030\USRDIR\PDIPFS\K\KO                            
KP                              103.491 KB  \BCKS10030\USRDIR\PDIPFS\K\KP                            
KQ                                1.773 MB  \BCKS10030\USRDIR\PDIPFS\K\KQ                            
KR                              177.516 KB  \BCKS10030\USRDIR\PDIPFS\K\KR                            
KS                                1.714 MB  \BCKS10030\USRDIR\PDIPFS\K\KS                            
KT                              117.766 KB  \BCKS10030\USRDIR\PDIPFS\K\KT                            
KU                              159.875 KB  \BCKS10030\USRDIR\PDIPFS\K\KU                            
KV                                839 Byte  \BCKS10030\USRDIR\PDIPFS\K\KV                            
KW                                1.420 MB  \BCKS10030\USRDIR\PDIPFS\K\KW                            
KX                                2.135 KB  \BCKS10030\USRDIR\PDIPFS\K\KX                            
KY                                2.135 MB  \BCKS10030\USRDIR\PDIPFS\K\KY                            
KZ                                1.452 MB  \BCKS10030\USRDIR\PDIPFS\K\KZ                            
L0                               20.861 KB  \BCKS10030\USRDIR\PDIPFS\K\L0                            
L1                                2.256 KB  \BCKS10030\USRDIR\PDIPFS\K\L1                            
L2                              107.421 KB  \BCKS10030\USRDIR\PDIPFS\K\L2                            
L3                                2.072 KB  \BCKS10030\USRDIR\PDIPFS\K\L3                            
L4                                1.424 MB  \BCKS10030\USRDIR\PDIPFS\K\L4                            
L5                               18.141 KB  \BCKS10030\USRDIR\PDIPFS\K\L5                            
L6                               15.814 KB  \BCKS10030\USRDIR\PDIPFS\K\L6                            
L7                                647 Byte  \BCKS10030\USRDIR\PDIPFS\K\L7                            
L8                               97.271 KB  \BCKS10030\USRDIR\PDIPFS\K\L8                            
L9                               17.047 KB  \BCKS10030\USRDIR\PDIPFS\K\L9                            
LA                              173.297 KB  \BCKS10030\USRDIR\PDIPFS\K\LA                            
LB                                2.265 MB  \BCKS10030\USRDIR\PDIPFS\K\LB                            
LC                              200.031 KB  \BCKS10030\USRDIR\PDIPFS\K\LC                            
LD                                2.879 MB  \BCKS10030\USRDIR\PDIPFS\K\LD                            
LE                                2.925 MB  \BCKS10030\USRDIR\PDIPFS\K\LE                            
LF                                1.496 MB  \BCKS10030\USRDIR\PDIPFS\K\LF                            
LG                                7.321 KB  \BCKS10030\USRDIR\PDIPFS\K\LG                            
LH                                8.262 KB  \BCKS10030\USRDIR\PDIPFS\K\LH                            
LI                                1.321 KB  \BCKS10030\USRDIR\PDIPFS\K\LI                            
LJ                               16.250 KB  \BCKS10030\USRDIR\PDIPFS\K\LJ                            
LK                                1.830 MB  \BCKS10030\USRDIR\PDIPFS\K\LK                            
LL                              106.234 KB  \BCKS10030\USRDIR\PDIPFS\K\LL                            
LM                                1.758 MB  \BCKS10030\USRDIR\PDIPFS\K\LM                            
LN                                2.140 MB  \BCKS10030\USRDIR\PDIPFS\K\LN                            
LO                                1.524 MB  \BCKS10030\USRDIR\PDIPFS\K\LO                            
LP                              184.391 KB  \BCKS10030\USRDIR\PDIPFS\K\LP                            
LQ                                1.285 MB  \BCKS10030\USRDIR\PDIPFS\K\LQ                            
LR                                 80 Byte  \BCKS10030\USRDIR\PDIPFS\K\LR                            
LS                               22.456 KB  \BCKS10030\USRDIR\PDIPFS\K\LS                            
LT                              168.328 KB  \BCKS10030\USRDIR\PDIPFS\K\LT                            
LU                               49.641 KB  \BCKS10030\USRDIR\PDIPFS\K\LU                            
LV                                612 Byte  \BCKS10030\USRDIR\PDIPFS\K\LV                            
LX                                979 Byte  \BCKS10030\USRDIR\PDIPFS\K\LX                            
LY                               18.078 KB  \BCKS10030\USRDIR\PDIPFS\K\LY                            
LZ                               10.222 KB  \BCKS10030\USRDIR\PDIPFS\K\LZ                            
M0                              194.875 KB  \BCKS10030\USRDIR\PDIPFS\K\M0                            
M1                               10.261 KB  \BCKS10030\USRDIR\PDIPFS\K\M1                            
M2                               10.461 MB  \BCKS10030\USRDIR\PDIPFS\K\M2                            
M3                                7.852 KB  \BCKS10030\USRDIR\PDIPFS\K\M3                            
M4                                6.184 KB  \BCKS10030\USRDIR\PDIPFS\K\M4                            
M5                               20.454 KB  \BCKS10030\USRDIR\PDIPFS\K\M5                            
M6                                1.195 MB  \BCKS10030\USRDIR\PDIPFS\K\M6                            
M7                                2.641 KB  \BCKS10030\USRDIR\PDIPFS\K\M7                            
M8                                762 Byte  \BCKS10030\USRDIR\PDIPFS\K\M8                            
M9                               23.694 KB  \BCKS10030\USRDIR\PDIPFS\K\M9                            
MA                                2.961 MB  \BCKS10030\USRDIR\PDIPFS\K\MA                            
MB                               25.531 KB  \BCKS10030\USRDIR\PDIPFS\K\MB                            
MC                              199.688 KB  \BCKS10030\USRDIR\PDIPFS\K\MC                            
MD                                1.495 MB  \BCKS10030\USRDIR\PDIPFS\K\MD                            
ME                               16.841 KB  \BCKS10030\USRDIR\PDIPFS\K\ME                            
MF                                1.942 MB  \BCKS10030\USRDIR\PDIPFS\K\MF                            
MG                              327.448 KB  \BCKS10030\USRDIR\PDIPFS\K\MG                            
MH                                738 Byte  \BCKS10030\USRDIR\PDIPFS\K\MH                            
MI                                3.506 MB  \BCKS10030\USRDIR\PDIPFS\K\MI                            
MJ                                1.596 MB  \BCKS10030\USRDIR\PDIPFS\K\MJ                            
MK                               11.369 KB  \BCKS10030\USRDIR\PDIPFS\K\MK                            
ML                              146.484 KB  \BCKS10030\USRDIR\PDIPFS\K\ML                            
MM                              107.179 KB  \BCKS10030\USRDIR\PDIPFS\K\MM                            
MN                                1.918 MB  \BCKS10030\USRDIR\PDIPFS\K\MN                            
MO                                1.856 MB  \BCKS10030\USRDIR\PDIPFS\K\MO                            
MP                               19.920 KB  \BCKS10030\USRDIR\PDIPFS\K\MP                            
MQ                               14.220 MB  \BCKS10030\USRDIR\PDIPFS\K\MQ                            
MR                                7.421 KB  \BCKS10030\USRDIR\PDIPFS\K\MR                            
MS                                1.716 MB  \BCKS10030\USRDIR\PDIPFS\K\MS                            
MT                              172.547 KB  \BCKS10030\USRDIR\PDIPFS\K\MT                            
MU                              180.063 KB  \BCKS10030\USRDIR\PDIPFS\K\MU                            
MV                                476 Byte  \BCKS10030\USRDIR\PDIPFS\K\MV                            
MW                                9.478 KB  \BCKS10030\USRDIR\PDIPFS\K\MW                            
MX                               22.415 KB  \BCKS10030\USRDIR\PDIPFS\K\MX                            
MY                                7.015 MB  \BCKS10030\USRDIR\PDIPFS\K\MY                            
MZ                                1.908 KB  \BCKS10030\USRDIR\PDIPFS\K\MZ                            
O0                              174.172 KB  \BCKS10030\USRDIR\PDIPFS\K\O0                            
O1                                1.874 KB  \BCKS10030\USRDIR\PDIPFS\K\O1                            
O2                              100.180 KB  \BCKS10030\USRDIR\PDIPFS\K\O2                            
O3                                2.376 MB  \BCKS10030\USRDIR\PDIPFS\K\O3                            
O4                              174.172 KB  \BCKS10030\USRDIR\PDIPFS\K\O4                            
O5                              167.344 KB  \BCKS10030\USRDIR\PDIPFS\K\O5                            
O6                                9.870 MB  \BCKS10030\USRDIR\PDIPFS\K\O6                            
O7                              195.078 KB  \BCKS10030\USRDIR\PDIPFS\K\O7                            
O8                                6.989 KB  \BCKS10030\USRDIR\PDIPFS\K\O8                            
O9                               13.294 KB  \BCKS10030\USRDIR\PDIPFS\K\O9                            
OA                               18.957 KB  \BCKS10030\USRDIR\PDIPFS\K\OA                            
OB                               19.677 KB  \BCKS10030\USRDIR\PDIPFS\K\OB                            
OC                              172.656 KB  \BCKS10030\USRDIR\PDIPFS\K\OC                            
OD                               16.650 MB  \BCKS10030\USRDIR\PDIPFS\K\OD                            
OE                                3.445 MB  \BCKS10030\USRDIR\PDIPFS\K\OE                            
OF                              980.398 KB  \BCKS10030\USRDIR\PDIPFS\K\OF                            
OG                               89.771 KB  \BCKS10030\USRDIR\PDIPFS\K\OG                            
OH                              196.953 KB  \BCKS10030\USRDIR\PDIPFS\K\OH                            
OI                                9.907 KB  \BCKS10030\USRDIR\PDIPFS\K\OI                            
OJ                               20.815 KB  \BCKS10030\USRDIR\PDIPFS\K\OJ                            
OK                                1.763 KB  \BCKS10030\USRDIR\PDIPFS\K\OK                            
OL                              195.078 KB  \BCKS10030\USRDIR\PDIPFS\K\OL                            
OM                                1.596 MB  \BCKS10030\USRDIR\PDIPFS\K\OM                            
ON                                2.289 MB  \BCKS10030\USRDIR\PDIPFS\K\ON                            
OO                                1.782 MB  \BCKS10030\USRDIR\PDIPFS\K\OO                            
OP                              173.422 KB  \BCKS10030\USRDIR\PDIPFS\K\OP                            
OQ                                3.147 MB  \BCKS10030\USRDIR\PDIPFS\K\OQ                            
OR                              272.639 KB  \BCKS10030\USRDIR\PDIPFS\K\OR                            
OS                              182.330 KB  \BCKS10030\USRDIR\PDIPFS\K\OS                            
OT                                1.060 KB  \BCKS10030\USRDIR\PDIPFS\K\OT                            
OU                                9.434 KB  \BCKS10030\USRDIR\PDIPFS\K\OU                            
OV                              195.344 KB  \BCKS10030\USRDIR\PDIPFS\K\OV                            
OW                                4.186 KB  \BCKS10030\USRDIR\PDIPFS\K\OW                            
OX                                2.242 KB  \BCKS10030\USRDIR\PDIPFS\K\OX                            
OY                              615.723 KB  \BCKS10030\USRDIR\PDIPFS\K\OY                            
OZ                                695 Byte  \BCKS10030\USRDIR\PDIPFS\K\OZ                            
P0                               63.949 MB  \BCKS10030\USRDIR\PDIPFS\K\P0                            
P1                              340.563 KB  \BCKS10030\USRDIR\PDIPFS\K\P1                            
P2                                1.544 MB  \BCKS10030\USRDIR\PDIPFS\K\P2                            
P3                                8.608 KB  \BCKS10030\USRDIR\PDIPFS\K\P3                            
P4                              948.908 KB  \BCKS10030\USRDIR\PDIPFS\K\P4                            
P5                               16.250 KB  \BCKS10030\USRDIR\PDIPFS\K\P5                            
P6                                1.845 KB  \BCKS10030\USRDIR\PDIPFS\K\P6                            
P7                                2.392 KB  \BCKS10030\USRDIR\PDIPFS\K\P7                            
P8                              141.861 KB  \BCKS10030\USRDIR\PDIPFS\K\P8                            
P9                                386 Byte  \BCKS10030\USRDIR\PDIPFS\K\P9                            
PA                              197.609 KB  \BCKS10030\USRDIR\PDIPFS\K\PA                            
PB                              171.125 KB  \BCKS10030\USRDIR\PDIPFS\K\PB                            
PC                              176.969 KB  \BCKS10030\USRDIR\PDIPFS\K\PC                            
PD                               11.342 KB  \BCKS10030\USRDIR\PDIPFS\K\PD                            
PE                                2.783 KB  \BCKS10030\USRDIR\PDIPFS\K\PE                            
PF                              198.047 KB  \BCKS10030\USRDIR\PDIPFS\K\PF                            
PG                              186.016 KB  \BCKS10030\USRDIR\PDIPFS\K\PG                            
PH                                3.694 MB  \BCKS10030\USRDIR\PDIPFS\K\PH                            
PI                              724.364 KB  \BCKS10030\USRDIR\PDIPFS\K\PI                            
PJ                                2.279 MB  \BCKS10030\USRDIR\PDIPFS\K\PJ                            
PK                                3.068 MB  \BCKS10030\USRDIR\PDIPFS\K\PK                            
PL                                3.613 MB  \BCKS10030\USRDIR\PDIPFS\K\PL                            
PM                                9.951 KB  \BCKS10030\USRDIR\PDIPFS\K\PM                            
PN                              187.859 KB  \BCKS10030\USRDIR\PDIPFS\K\PN                            
PO                                7.902 KB  \BCKS10030\USRDIR\PDIPFS\K\PO                            
PP                                9.303 KB  \BCKS10030\USRDIR\PDIPFS\K\PP                            
PQ                               16.795 KB  \BCKS10030\USRDIR\PDIPFS\K\PQ                            
PR                                1.449 MB  \BCKS10030\USRDIR\PDIPFS\K\PR                            
PS                                3.016 KB  \BCKS10030\USRDIR\PDIPFS\K\PS                            
PT                               18.637 KB  \BCKS10030\USRDIR\PDIPFS\K\PT                            
PU                               17.036 KB  \BCKS10030\USRDIR\PDIPFS\K\PU                            
PV                               19.303 KB  \BCKS10030\USRDIR\PDIPFS\K\PV                            
PW                              171.375 KB  \BCKS10030\USRDIR\PDIPFS\K\PW                            
PX                               11.298 MB  \BCKS10030\USRDIR\PDIPFS\K\PX                            
PY                                 71 Byte  \BCKS10030\USRDIR\PDIPFS\K\PY                            
PZ                                8.178 KB  \BCKS10030\USRDIR\PDIPFS\K\PZ                            
Q0                                2.702 MB  \BCKS10030\USRDIR\PDIPFS\K\Q0                            
Q1                              179.672 KB  \BCKS10030\USRDIR\PDIPFS\K\Q1                            
Q2                            1,019.393 KB  \BCKS10030\USRDIR\PDIPFS\K\Q2                            
Q3                              185.594 KB  \BCKS10030\USRDIR\PDIPFS\K\Q3                            
Q4                              187.531 KB  \BCKS10030\USRDIR\PDIPFS\K\Q4                            
Q5                               16.929 KB  \BCKS10030\USRDIR\PDIPFS\K\Q5                            
Q6                                6.976 MB  \BCKS10030\USRDIR\PDIPFS\K\Q6                            
Q7                                 94 Byte  \BCKS10030\USRDIR\PDIPFS\K\Q7                            
Q8                                9.619 KB  \BCKS10030\USRDIR\PDIPFS\K\Q8                            
Q9                               18.982 KB  \BCKS10030\USRDIR\PDIPFS\K\Q9                            
QA                               22.188 KB  \BCKS10030\USRDIR\PDIPFS\K\QA                            
QB                               15.853 KB  \BCKS10030\USRDIR\PDIPFS\K\QB                            
QC                                2.531 KB  \BCKS10030\USRDIR\PDIPFS\K\QC                            
QD                                3.562 MB  \BCKS10030\USRDIR\PDIPFS\K\QD                            
QE                              166.203 KB  \BCKS10030\USRDIR\PDIPFS\K\QE                            
QF                              694.454 KB  \BCKS10030\USRDIR\PDIPFS\K\QF                            
QG                               92.665 KB  \BCKS10030\USRDIR\PDIPFS\K\QG                            
QH                               33.849 KB  \BCKS10030\USRDIR\PDIPFS\K\QH                            
QI                               16.322 KB  \BCKS10030\USRDIR\PDIPFS\K\QI                            
QJ                               58.904 MB  \BCKS10030\USRDIR\PDIPFS\K\QJ                            
QL                                649 Byte  \BCKS10030\USRDIR\PDIPFS\K\QL                            
QM                              153.616 KB  \BCKS10030\USRDIR\PDIPFS\K\QM                            
QN                              219.644 KB  \BCKS10030\USRDIR\PDIPFS\K\QN                            
QO                              189.078 KB  \BCKS10030\USRDIR\PDIPFS\K\QO                            
QP                                3.062 MB  \BCKS10030\USRDIR\PDIPFS\K\QP                            
QQ                                1.820 MB  \BCKS10030\USRDIR\PDIPFS\K\QQ                            
QR                               20.911 KB  \BCKS10030\USRDIR\PDIPFS\K\QR                            
QS                              100.266 KB  \BCKS10030\USRDIR\PDIPFS\K\QS                            
QT                              146.484 KB  \BCKS10030\USRDIR\PDIPFS\K\QT                            
QU                              191.766 KB  \BCKS10030\USRDIR\PDIPFS\K\QU                            
QV                                378 Byte  \BCKS10030\USRDIR\PDIPFS\K\QV                            
QW                              764.143 KB  \BCKS10030\USRDIR\PDIPFS\K\QW                            
QX                              195.594 KB  \BCKS10030\USRDIR\PDIPFS\K\QX                            
QY                                3.451 MB  \BCKS10030\USRDIR\PDIPFS\K\QY                            
QZ                               16.250 KB  \BCKS10030\USRDIR\PDIPFS\K\QZ                            
R0                              145.875 KB  \BCKS10030\USRDIR\PDIPFS\K\R0                            
R1                               27.931 KB  \BCKS10030\USRDIR\PDIPFS\K\R1                            
R2                               38.688 KB  \BCKS10030\USRDIR\PDIPFS\K\R2                            
R3                              192.266 KB  \BCKS10030\USRDIR\PDIPFS\K\R3                            
R4                                3.000 MB  \BCKS10030\USRDIR\PDIPFS\K\R4                            
R5                              166.203 KB  \BCKS10030\USRDIR\PDIPFS\K\R5                            
R6                                680 Byte  \BCKS10030\USRDIR\PDIPFS\K\R6                            
R7                              104.458 KB  \BCKS10030\USRDIR\PDIPFS\K\R7                            
R8                                2.000 MB  \BCKS10030\USRDIR\PDIPFS\K\R8                            
R9                              195.703 KB  \BCKS10030\USRDIR\PDIPFS\K\R9                            
RA                               16.651 KB  \BCKS10030\USRDIR\PDIPFS\K\RA                            
RB                               91.897 KB  \BCKS10030\USRDIR\PDIPFS\K\RB                            
RC                               20.606 KB  \BCKS10030\USRDIR\PDIPFS\K\RC                            
RD                              176.547 KB  \BCKS10030\USRDIR\PDIPFS\K\RD                            
RE                               10.294 KB  \BCKS10030\USRDIR\PDIPFS\K\RE                            
RF                                 56 Byte  \BCKS10030\USRDIR\PDIPFS\K\RF                            
RG                               14.031 MB  \BCKS10030\USRDIR\PDIPFS\K\RG                            
RH                              193.063 KB  \BCKS10030\USRDIR\PDIPFS\K\RH                            
RI                                1.642 MB  \BCKS10030\USRDIR\PDIPFS\K\RI                            
RJ                               16.092 KB  \BCKS10030\USRDIR\PDIPFS\K\RJ                            
RK                              615.722 KB  \BCKS10030\USRDIR\PDIPFS\K\RK                            
RL                               16.936 KB  \BCKS10030\USRDIR\PDIPFS\K\RL                            
RM                                1.482 KB  \BCKS10030\USRDIR\PDIPFS\K\RM                            
RN                               21.471 KB  \BCKS10030\USRDIR\PDIPFS\K\RN                            
RO                              199.063 KB  \BCKS10030\USRDIR\PDIPFS\K\RO                            
RP                               10.773 KB  \BCKS10030\USRDIR\PDIPFS\K\RP                            
RQ                                4.055 KB  \BCKS10030\USRDIR\PDIPFS\K\RQ                            
RR                               19.994 KB  \BCKS10030\USRDIR\PDIPFS\K\RR                            
RS                               45.030 MB  \BCKS10030\USRDIR\PDIPFS\K\RS                            
RT                                2.697 MB  \BCKS10030\USRDIR\PDIPFS\K\RT                            
RU                                1.428 MB  \BCKS10030\USRDIR\PDIPFS\K\RU                            
RV                                1.815 MB  \BCKS10030\USRDIR\PDIPFS\K\RV                            
RW                              221.194 KB  \BCKS10030\USRDIR\PDIPFS\K\RW                            
